Employee #,Last Name,First Name,Birthday,Address,Phone #,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate,Role,Gender
10011,Salcedo,Anthony,09/14/1993,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",070-766-300,26-9647608-3,126445315651,210-805-911-000,218002473454,Regular,Payroll Manager,"Alvaro, Roderick",50825.00,1500.00,1000.00,1000.00,25413.00,302.53,ACCOUNTING,Male
10012,Lopez,Josie,01/14/1987,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",478-355-427,44-8563448-3,431709011012,218-489-737-000,113071293354,Regular,Payroll Team Leader,"Salcedo, Anthony",38475.00,1500.00,800.00,800.00,19238.00,229.02,ACCOUNTING,Female
10013,Farala,Martha,01/11/1942,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte",329-034-366,45-5656375-0,233693897247,210-835-851-000,631130283546,Regular,Payroll Rank and File,"Salcedo, Anthony",24500.00,1500.00,500.00,500.00,27000.00,145.83,ACCOUNTING,Female
10014,Martinez,Leila,07/11/1970,"37/46 Kulas Roads, Maragondon 0962 Quirino",877-110-749,27-2090996-4,515741057496,275-792-513-000,101205445886,Regular,Payroll Rank and File,"Salcedo, Anthony",24000.00,1500.00,500.00,500.00,12000.00,142.86,ACCOUNTING,Female
10015,Romualdez,Fredrick,03/10/1985,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",023-079-009,26-8768374-1,308366860059,598-065-761-000,223057707853,Regular,Account Manager,"Lim, Antonio",53500.00,1500.00,1000.00,1000.00,26750.00,318.45,ACCOUNTING,Male
10016,Mata,Christian,10/21/1987,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu",783-776-744,49-2959312-6,824187961962,103-100-522-000,631052853464,Regular,Account Team Leader,"Romualdez, Fredrick",42975.00,1500.00,800.00,800.00,21488.00,255.80,REGULAR_STAFF,Male
10017,De Leon,Selena,02/20/1975,"89A Armstrong Trace, Compostela 7874 Maguindanao",975-432-139,27-2090208-8,587272469938,482-259-498-000,719007608464,Regular,Account Team Leader,"Romualdez, Fredrick",41850.00,1500.00,800.00,800.00,20925.00,249.11,REGULAR_STAFF,Female
10018,San Jose,Allison,06/24/1986,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",179-075-129,45-3251383-0,745148459521,121-203-336-000,114901859343,Regular,Account Rank and File,"Mata, Christian",22500.00,1500.00,500.00,500.00,11250.00,133.93,REGULAR_STAFF,Female
10019,Rosario,Cydney,10/06/1996,"93A/21 Berge Points, Tapaz 2180 Quezon",868-819-912,49-1629900-2,579253435499,122-244-511-000,265104358643,Regular,Account Rank and File,"Mata, Christian",22500.00,1500.00,500.00,500.00,11250.00,133.93,REGULAR_STAFF,Female
10020,Bautista,Mark,02/12/1991,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",683-725-348,49-1647342-5,399665157135,273-970-941-000,260054585575,Regular,Account Rank and File,"Mata, Christian",23250.00,1500.00,500.00,500.00,25750.00,138.00,REGULAR_STAFF,Male
10021,Lazaro,Darlene,11/25/1985,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",740-721-558,45-5617168-2,606386917510,354-650-951-000,104907708845,Probationary,Account Rank and File,"Mata, Christian",23250.00,1500.00,500.00,500.00,11625.00,138.39,REGULAR_STAFF,Female
10022,Delos Santos,Kolby,02/26/1980,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",739-443-033,52-0109570-6,357451271274,187-500-345-000,113017988667,Probationary,Account Rank and File,"Mata, Christian",24000.00,1500.00,500.00,500.00,12000.00,142.86,REGULAR_STAFF,Male
10023,Santos,Vella,12/31/1983,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",955-879-269,52-9883524-3,548670482885,101-558-994-000,360028104576,Probationary,Account Rank and File,"Mata, Christian",22500.00,1500.00,500.00,500.00,11250.00,133.93,REGULAR_STAFF,Female
10024,Del Rosario,Tomas,12/18/1978,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",882-550-989,45-5866331-6,953901539995,560-735-732-000,913108649964,Probationary,Account Rank and File,"Mata, Christian",22500.00,1500.00,500.00,500.00,11250.00,133.93,REGULAR_STAFF,Male
10025,Tolentino,Jacklyn,05/19/1984,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",675-757-366,47-1692793-0,753800654114,841-177-857-000,210546661243,Probationary,Account Rank and File,"De Leon, Selena",24000.00,1500.00,500.00,500.00,12000.00,142.86,REGULAR_STAFF,Female
10026,Gutierrez,Percival,12/18/1970,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",512-899-876,40-9504657-8,797639382265,502-995-671-000,210897095686,Probationary,Account Rank and File,"De Leon, Selena",24750.00,1500.00,500.00,500.00,12375.00,147.32,REGULAR_STAFF,Male
10027,Manalaysay,Garfield,08/28/1986,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",948-628-136,45-3298166-4,810909286264,336-676-445-000,211274476563,Probationary,Account Rank and File,"De Leon, Selena",24750.00,1500.00,500.00,500.00,12375.00,147.32,REGULAR_STAFF,Male
10028,Villegas,Lizeth,12/12/1981,"66/77 Mann Views, Luisiana 1263 Dinagat Islands",332-372-215,40-2400719-4,934389652994,210-395-397-000,122238077997,Probationary,Account Rank and File,"De Leon, Selena",24000.00,1500.00,500.00,500.00,12000.00,142.86,REGULAR_STAFF,Female
10029,Ramos,Carol,08/20/1978,"72/70 Stamm Spurs, Bustos 4550 Iloilo",250-700-389,60-1152206-4,351830469744,395-032-717-000,212141893454,Probationary,Account Rank and File,"De Leon, Selena",22500.00,1500.00,500.00,500.00,11250.00,133.93,REGULAR_STAFF,Female
10030,Maceda,Emelia,04/14/1973,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",973-358-041,54-1331005-0,465087894112,215-973-013-000,515012579765,Probationary,Account Rank and File,"De Leon, Selena",22500.00,1500.00,500.00,500.00,11250.00,133.93,REGULAR_STAFF,Female
10031,Aguilar,Delia,01/27/1989,"95 Cremin Junction, Surallah 2809 Cotabato",529-705-439,52-1859253-1,136451303068,599-312-588-000,110018813465,Probationary,Account Rank and File,"De Leon, Selena",22500.00,1500.00,500.00,500.00,11250.00,133.93,REGULAR_STAFF,Female
10032,Castro,John Rafael,02/09/1992,"Hi-way, Yati, Liloan Cebu",332-424-955,26-7145133-4,601644902402,404-768-309-000,697764069311,Regular,Sales & Marketing,"Reyes, Isabella",52670.00,1500.00,1000.00,1000.00,26335.00,313.51,REGULAR_STAFF,Male
10033,Martinez,Carlos Ian,11/16/1990,"Bulala, Camalaniugan",078-854-208,11-5062972-7,380685387212,256-436-296-000,993372963726,Regular,Supply Chain and Logistics,"Reyes, Isabella",52670.00,1500.00,1000.00,1000.00,26335.00,313.51,REGULAR_STAFF,Male
10034,Santos,Beatriz,08/07/1990,"Agapita Building, Metro Manila",526-639-511,20-2987501-5,918460050077,911-529-713-000,874042259378,Active,Customer Service and Relations,"Reyes, Isabella",52670.00,1500.00,1000.00,1000.00,26335.00,313.51,REGULAR_STAFF,Female
10035,asdasdadsads,asdads,,asdasdadsdas,234-234-234,24-3342234-2,432243234423,423-243-234-234,423423423423,Probationary,HR Manager,"Lim, Antonio",1111.00,1111.00,111.00,1111.00,3444.00,6.61,REGULAR_STAFF,Male
10036,asdasd,Abigai,,asdasdads,213-123-123,12-3213312-3,123213123123,321-231-213-213,132132123121,Regular,Accounting Head,"Aquino, Bianca Sofia",1234.00,232332.00,3223332.00,3223323.00,6680221.00,7.35,REGULAR_STAFF,Male
10037,Delacruz,asdasd,03/05/2008,asdasdads,213-123-312,12-3231213-2,123213123123,123-213-123-123,123213123123,Regular,IT Operations and Systems,N/A,200000.00,2000.00,2000.00,2000.00,206000.00,1190.48,REGULAR_STAFF,Male
10038,asdadsadsads,ddasddasd,03/04/2008,asdasdads,213-231-231,12-3321132-1,123123123321,231-213-123-123,312213123123,Regular,IT Operations and Systems,N/A,233333.00,200.00,200.00,200.00,233933.00,1388.89,REGULAR_STAFF,Male
10039,Delacruz,Juan,03/10/2008,Address line...,000-000-000,23-1423434-2,234243234232,234-423-234-234,234423432234,Regular,IT Operations and Systems,"Lim, Antonio",0.00,1500.00,1000.00,1000.00,3500.00,0.00,REGULAR_STAFF,Male
10041,dfssdfssdf,dsdfsdf,03/11/2008,434242,234-234-234,23-4432233-4,234243234234,423-423-234-342,423324324234,Regular,Chief Operating Officer,"Garcia, Manuel III",60000.00,1500.00,2000.00,1000.00,64500.00,357.14,REGULAR_STAFF,Male
10042,Sarmiento,Hazel,03/12/2008,Manila Philippines,234-234-423,43-2234342-3,423432243232,423-423-423-423,234234243243,Regular,Payroll Manager,"Alvaro, Roderick",50000.00,1500.00,1000.00,1000.00,53500.00,297.62,REGULAR_STAFF,Female
10043,Villaruz,Jamil,03/10/2008,sdfsdfsdfsfd,234-234-432,42-3324324-3,423423423424,234-324-324-342,234234423423,Regular,HR Manager,"Lim, Antonio",678921.00,1500.00,1000.00,1000.00,682421.00,4041.20,REGULAR_STAFF,Male
10044,deleon,jastin,03/18/2008,san pedro laguna,232-323-112,21-3321231-3,321321321321,321-321-231-321,312321321321,Probationary,Payroll Manager,"Alvaro, Roderick",80000.00,1500.00,1000.00,1000.00,83500.00,476.19,REGULAR_STAFF,Male
10045,asdasdasd,ddddd,03/18/2008,adsd,342-324-323,24-3324324-3,423234234342,234-234-234-432,243432423432,Regular,Account Manager,"Garcia, Manuel III",50000.00,1500.00,1000.00,1000.00,53500.00,297.62,REGULAR_STAFF,Male
10046,de la,fds,03/04/2008,3434343434433434,123-231-231,12-2311233-2,231231123123,231-232-121-213,321213213123,Regular,Accounting Head,"Aquino, Bianca Sofia",30000.00,1500.00,1000.00,1000.00,33500.00,178.57,REGULAR_STAFF,Male
10047,wdaasdasdasd,dsdasdfsdsf,03/10/2008,asdasdasdasd,213-132-132,23-1231232-1,123213213213,123-312-213-213,213123123231,Regular,Accounting Head,"Aquino, Bianca Sofia",30000.00,0.00,0.00,0.00,30000.00,178.57,REGULAR_STAFF,Male
10048,dela alasdasdasd,juan,03/11/2008,asdasdasd,234-234-432,43-2342234-4,244322342342,234-432-423-234,423243243243,Regular,Chief Operating Officer,"Garcia, Manuel III",2344233.00,1500.00,2000.00,1000.00,2348733.00,13953.77,REGULAR_STAFF,Female
10049,panganiban,angelica,03/25/2008,342334234,211-233-233,31-2312321-3,213213123312,322-132-312-323,231132321213,Regular,Account Manager,"Garcia, Manuel III",40000.00,1500.00,1000.00,1000.00,43500.00,238.10,REGULAR_STAFF,Male
10050,Gates,Bill,03/11/2008,asdasdd,342-342-342,34-2342342-3,423432342324,342-423-234-234,442334243232,Regular,Payroll Team Leader,"Salcedo, Anthony",323222.00,1500.00,800.00,800.00,326322.00,1923.94,REGULAR_STAFF,Male
10051,sdaasdsdasadwdsa,adsdsdsa,03/10/2008,e3aq,324-234-234,34-2423423-4,324432324324,234-432-234-234,423432432342,Regular,Chief Operating Officer,"Garcia, Manuel III",6000.00,1500.00,2000.00,1000.00,10500.00,35.71,REGULAR_STAFF,Male
10052,sadasdasddassda,asdasddsa,03/17/2008,32423243324342,342-324-234,43-2342342-4,432432234324,432-432-324-342,423432342324,Regular,IT Operations and Systems,"Lim, Antonio",2000.00,1500.00,1000.00,1000.00,5500.00,11.90,REGULAR_STAFF,Male
10053,sdfsdfdsfsdf,fsdsdfdsf,03/03/2008,sdasd,455-434-534,32-4524323-4,432234342432,342-342-432-342,432342342433,Regular,Chief Operating Officer,"Garcia, Manuel III",565666.00,1500.00,2000.00,1000.00,570166.00,3367.06,REGULAR_STAFF,Male
10054,dfssddfs,asdasdasd,03/10/2008,3wrdfsdsf,345-344-533,34-2345453-3,345543345543,543-435-354-345,543534345345,Regular,IT Operations and Systems,"Lim, Antonio",565666.00,1500.00,1000.00,1000.00,569166.00,3367.06,REGULAR_STAFF,Male
10055,Alonzo,Bea,03/03/2008,asdfsdf,342-342-432,34-3243243-4,342324342234,324-324-342-432,234423234234,Regular,IT Operations and Systems,"Lim, Antonio",343433.00,1500.00,1000.00,1000.00,346933.00,2044.24,REGULAR_STAFF,Male
10056,goliath,drake,03/09/2008,asdasd,231-231-232,23-1123213-2,321312231231,321-312-321-132,123312231123,Regular,Accounting Head,"Aquino, Bianca Sofia",233322.00,1500.00,1000.00,1000.00,236822.00,1388.82,REGULAR_STAFF,Male
10059,iuhiuyyu,jnbjn,03/18/2008,"m,nkjkjhkjh",987-987-898,64-5646554-5,675576657675,546-546-545-645,765765657657,Regular,Payroll Team Leader,"Salcedo, Anthony",70000.00,1500.00,800.00,800.00,73100.00,416.67,REGULAR_STAFF,Male
10060,fdgdfgfg,dfgdfgfdg,03/24/2008,435345345453435,345-213-423,23-4324324-4,243423432432,234-242-424-24,234243234243,Probationary,IT Operations and Systems,"Lim, Antonio",60000.00,1500.00,1000.00,1000.00,63500.00,357.14,REGULAR_STAFF,Male
10061,sddsfsdf,sdfsdf,03/28/2008,sdfsdfsdfsdf,423-434-232,34-5543354-3,453453453453,435-543-354-345,543534345345,Probationary,Accounting Head,"Aquino, Bianca Sofia",80000.00,1500.00,1000.00,1000.00,83500.00,476.19,REGULAR_STAFF,Male
10062,dsasdasdasdsdads,adsas,03/24/2008,2433423434,234-432-234,23-4234324-3,234423234324,423-324-234-423,234234324324,Regular,Chief Marketing Officer,"Garcia, Manuel III",1123123.00,1500.00,2000.00,1000.00,1127623.00,6685.26,REGULAR_STAFF,Male
10065,rsersdfdsfdsf,dfdssdf,03/10/2008,asdasdasdasd,453-434-534,34-5543345-3,345354345435,453-345-345-345,435534345343,Probationary,Accounting Head,"Aquino, Bianca Sofia",2343443.00,1500.00,1000.00,1000.00,2346943.00,13949.07,REGULAR_STAFF,Male
10067,asdasassda,asdsadsda,03/09/2008,asdasddsa,324-233-424,43-2423243-4,322342342344,234-234-342-342,424323423423,Probationary,Chief Marketing Officer,"Garcia, Manuel III",3423423.00,1500.00,2000.00,1000.00,3427923.00,20377.52,REGULAR_STAFF,Male
10068,sarmiento,abi,03/10/2008,asdasd4,231-223-321,12-3231231-1,321231213123,231-231-123-213,123213123132,Regular,HR Manager,"Lim, Antonio",20000.00,1500.00,1000.00,1000.00,23500.00,119.05,REGULAR_STAFF,Male
10069,Gran,Graer,03/10/2008,fsdsdfsdfdf,234-234-342,23-4234234-3,243234325644,434-534-564-322,234453675657,Regular,Chief Operating Officer,"Garcia, Manuel III",30000.00,1500.00,2000.00,1000.00,34500.00,178.57,REGULAR_STAFF,Male
10070,Ldfsdfsfd,Gres,03/20/2008,334534345sfgddfgdfgdfg,234-234-432,23-4234234-4,423423423442,232-342-342-342,234234234234,Regular,IT Operations and Systems,"Lim, Antonio",90000.00,1500.00,1000.00,1000.00,93500.00,535.71,REGULAR_STAFF,Male
10072,Villa,Jerc,03/10/2008,asdasdd,231-312-312,32-1312312-3,232132323223,132-123-123-132,123231123123,Regular,HR Manager,"Lim, Antonio",50000.00,1500.00,1000.00,1000.00,53500.00,297.62,HR_STAFF,Male
10073,asdasdasd,asdasd,03/19/2008,asdasdasd,342-234-232,42-3342234-4,342234423432,432-443-223-423,423432423324,Regular,Chief Operating Officer,"Garcia, Manuel III",0.00,1500.00,2000.00,1000.00,4500.00,0.00,ADMIN,Male
10074,sdfsdfsdfsdf,sdfsdfsdf,03/12/2008,sdfsdfsdfsdf,234-234-423,23-4234234,234423234432,432-432-432-234,423234234342,Regular,Chief Operating Officer,"Garcia, Manuel III",0.00,0.00,0.00,0.00,0.00,0.00,ADMIN,Male
10075,asdadsadsads,asdasdasd,03/10/2008,4444,444,32-443234,444,434-44,444,Regular,Chief Operating Officer,"Garcia, Manuel III",2344444.00,1500.00,2000.00,1000.00,2348944.00,13955.02,ADMIN,Male
10076,Sarmiento,Abigail Ann,03/20/2008,ddsd,324-234-442,42-3423423-4,234243234234,234-242-342-342,342342342342,Probationary,Payroll Manager,"Alvaro, Roderick",40000.00,1500.00,1000.00,1000.00,43500.00,238.10,ACCOUNTING,Male
10077,fesdfsdf,asdds,03/09/2008,fasaf,453-454-534,45-3345354-3,434354354354,354-354-354-534,345435345453,Probationary,HR Manager,"Lim, Antonio",60000.00,1500.00,1000.00,1000.00,63500.00,357.14,HR_STAFF,Male
10078,Mananzala,John,03/10/2008,sdfsdfsdf,345-345-345,53-4543345-5,534354345345,345-543-345-353,345435345345,Probationary,Chief Marketing Officer,"Garcia, Manuel III",60000.00,1500.00,2000.00,1000.00,64500.00,357.14,HR_STAFF,Male
10079,qeqweqeqeq,dsadasd,03/12/2008,123 dasdadasdasdasdadasda,231-212-312,12-3123123-1,213123123123,312-313-123-213,123131313131,Regular,Payroll Manager,"Alvaro, Roderick",22223.00,1500.00,1000.00,1000.00,25723.00,132.28,REGULAR_STAFF,Male
10080,asdasdasd,dasdasda,03/18/2008,12 dsadasdasdadasdsa adadsadsadsasd asdadasdasd,0906-787-8903,22-2222222-3,222222222221,222-222-222-224,333333333333,Regular,HR Manager,"Lim, Antonio",32212.00,1500.00,1000.00,1000.00,35712.00,191.74,REGULAR_STAFF,Male
10081,Messi,Leonel,03/20/2008,3123 sdadafa fafasfkjasfjajfk,0923-332-2211,31-2312312-4,312312312313,131-312-432-445,123132123131,Regular,HR Manager,"Lim, Antonio",43324.00,0.00,0.00,0.00,43324.00,257.88,REGULAR_STAFF,Male
10082,dasdada,asdadada,03/03/2008,123 fsdfsdfsfsdf sfs fds fs fs,0903-322-2222,31-2313123-1,123131312313,312-313-132-131,123131313212,Regular,HR Manager,"Lim, Antonio",43244.00,0.00,0.00,0.00,43244.00,257.40,REGULAR_STAFF,Male
10083,sdfsfsf,fsdsfsf,03/21/2008,234 fsdfsfsdfs,0932-423-4234,23-4324234-2,234242342342,423-423-423-424,234234234234,Regular,HR Manager,"Lim, Antonio",43244.00,0.00,0.00,0.00,43244.00,257.40,REGULAR_STAFF,Male
10084,Messi,Leo,03/21/2008,321 sfdfsfsdf dsf sdf sfd sfd sf,0905-959-3432,22-3432423-4,242342424222,234-234-234-241,333333333333,Regular,Accounting Head,"Aquino, Bianca Sofia",31312.00,1500.00,1000.00,1000.00,34812.00,186.38,REGULAR_STAFF,Male
10085,qdasdad,dadad,03/22/2008,23 asdfdasdadsada,0923-131-2311,12-3131231-2,123123123123,123-123-123-123,132312312313,Regular,Chief Operating Officer,"Garcia, Manuel III",31231.00,1500.00,2000.00,1000.00,35731.00,185.90,REGULAR_STAFF,Male
10086,asdadada,wdadasd,03/29/2008,123 sdadasdsa da das da,0932-222-2211,12-3312312-3,123123123123,312-312-312-312,312313123123,Regular,Chief Operating Officer,"Garcia, Manuel III",13321.00,1500.00,2000.00,1000.00,17821.00,79.29,REGULAR_STAFF,Male
10087,L,Nadine,03/13/2008,12 sdadda asdad sadasd,0922-222-1222,31-2312312-3,312312312312,123-123-123-131,123123123123,Probationary,Chief Operating Officer,"Garcia, Manuel III",31234.00,0.00,0.00,0.00,31234.00,185.92,IT_STAFF,Male
10088,Tester,Test,03/29/2008,23 dsasdasda das dasdadada,0911-111-1111,23-1333333-3,123111111111,123-123-123-123,131233333231,Regular,Chief Operating Officer,"Garcia, Manuel III",70000.00,1500.00,2000.00,1000.00,74500.00,416.67,REGULAR_STAFF,Male
10089,Person,Test,08/24/2006,12 sdasdadsada sda dasdadsasdalkdaskdasjdka djkajksdasdjkajk dajkda kjsdjkasdjkalkdj,0999-999-9991,31-2312312-1,123123123120,312-312-312-315,123123123123,Probationary,Account Manager,"Garcia, Manuel III",53442.00,0.00,0.00,0.00,53442.00,318.11,REGULAR_STAFF,Male
